feature,importance
feature_26,0.8977046
feature_29,0.080793604
feature_13,0.015348662
feature_10,0.002777833
feature_0,0.00046847077
feature_12,0.00028137807
feature_25,0.00022733981
feature_28,0.00020341901
feature_15,0.00015049451
feature_31,0.00014488059
feature_32,0.00013407758
feature_21,0.00013198885
feature_2,0.00012049963
feature_19,0.00011921866
feature_1,0.00011060106
feature_3,0.000110566805
feature_8,0.00010351966
feature_6,9.7972275e-05
feature_9,9.191279e-05
feature_18,8.2932376e-05
feature_17,7.9980964e-05
feature_5,7.662845e-05
feature_4,7.343136e-05
feature_20,7.305719e-05
feature_22,7.2836156e-05
feature_24,7.181653e-05
feature_11,6.521121e-05
feature_23,6.459379e-05
feature_30,6.392546e-05
feature_7,5.8041427e-05
feature_16,4.559378e-05
feature_27,3.664062e-05
feature_14,1.4270921e-05
